#########################
# B -> J/psi K Mag Down
#########################
### baseline
PrChecker.Downs...   INFO         noVelo+UT+T_strange>5GeV :    9792 from    12783 [ 76.6 %]     15 clones [ 0.2 %], purity: 97.65 %, hitEff: 98.83 %
PrChecker.Downs...   INFO                       UT+T_fromB :   32785 from    40655 [ 80.6 %]     52 clones [ 0.2 %], purity: 97.82 %, hitEff: 99.05 %
PrChecker.Downs...   INFO                  UT+T_fromB>5GeV :   26455 from    31284 [ 84.6 %]     50 clones [ 0.2 %], purity: 97.85 %, hitEff: 99.13 %
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    6012 from     8880 [ 67.7 %]      7 clones [ 0.1 %], purity: 97.81 %, hitEff: 98.75 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    4418 from     5748 [ 76.9 %]      7 clones [ 0.2 %], purity: 97.83 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    7673 from     9758 [ 78.6 %]      9 clones [ 0.1 %], purity: 97.78 %, hitEff: 98.87 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    5759 from     6968 [ 82.6 %]      8 clones [ 0.1 %], purity: 97.84 %, hitEff: 98.99 %
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    5224 from     6783 [ 77.0 %]      4 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.83 %
PrChecker.Downs...   INFO         noVelo+UT+T_SfromDB>5GeV :    4038 from     4979 [ 81.1 %]      4 clones [ 0.1 %], purity: 97.81 %, hitEff: 98.97 %

PrChecker.BestDown   INFO **** BestDown                        88050 tracks including         34767 ghosts [39.5 %], Event average  34.3 % ****
PrChecker.BestDown   INFO                             UT+T :   38081 from   343868 [ 11.1 %]     31 clones [ 0.1 %], purity: 97.50 %, hitEff: 93.95 %
PrChecker.BestDown   INFO                        UT+T>5GeV :   20422 from   209864 [  9.7 %]     29 clones [ 0.1 %], purity: 97.59 %, hitEff: 95.10 %
PrChecker.BestDown   INFO                     UT+T_strange :   15436 from    36232 [ 42.6 %]     11 clones [ 0.1 %], purity: 97.65 %, hitEff: 94.85 %
PrChecker.BestDown   INFO                UT+T_strange>5GeV :    9959 from    20590 [ 48.4 %]     10 clones [ 0.1 %], purity: 97.69 %, hitEff: 95.61 %
PrChecker.BestDown   INFO              noVelo+UT+T_strange :   14068 from    21195 [ 66.4 %]     11 clones [ 0.1 %], purity: 97.67 %, hitEff: 94.91 %
PrChecker.BestDown   INFO         noVelo+UT+T_strange>5GeV :    9361 from    12783 [ 73.2 %]     10 clones [ 0.1 %], purity: 97.70 %, hitEff: 95.64 %
PrChecker.BestDown   INFO                       UT+T_fromB :    6704 from    40655 [ 16.5 %]      6 clones [ 0.1 %], purity: 97.81 %, hitEff: 95.36 %
PrChecker.BestDown   INFO                  UT+T_fromB>5GeV :    4817 from    31284 [ 15.4 %]      6 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.11 %
PrChecker.BestDown   INFO                noVelo+UT+T_fromB :    5779 from     8880 [ 65.1 %]      5 clones [ 0.1 %], purity: 97.85 %, hitEff: 95.61 %
PrChecker.BestDown   INFO           noVelo+UT+T_fromB>5GeV :    4270 from     5748 [ 74.3 %]      5 clones [ 0.1 %], purity: 97.86 %, hitEff: 96.23 %
PrChecker.BestDown   INFO                     UT+T_SfromDB :    5343 from     9758 [ 54.8 %]      3 clones [ 0.1 %], purity: 97.83 %, hitEff: 95.73 %
PrChecker.BestDown   INFO                UT+T_SfromDB>5GeV :    4077 from     6968 [ 58.5 %]      3 clones [ 0.1 %], purity: 97.85 %, hitEff: 96.28 %
PrChecker.BestDown   INFO              noVelo+UT+T_SfromDB :    5082 from     6783 [ 74.9 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 95.79 %
PrChecker.BestDown   INFO         noVelo+UT+T_SfromDB>5GeV :    3933 from     4979 [ 79.0 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.28 %


## 0.15
PrChecker.Downs...   INFO **** Downstream                     397098 tracks including        111260 ghosts [28.0 %], Event average  22.6 % ****
PrChecker.Downs...   INFO                             UT+T :  254284 from   343868 [ 73.9 %]    466 clones [ 0.2 %], purity: 97.55 %, hitEff: 98.85 %
PrChecker.Downs...   INFO                        UT+T>5GeV :  169157 from   209864 [ 80.6 %]    434 clones [ 0.3 %], purity: 97.58 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_strange :   26012 from    36232 [ 71.8 %]     31 clones [ 0.1 %], purity: 97.60 %, hitEff: 98.81 %
PrChecker.Downs...   INFO                UT+T_strange>5GeV :   16097 from    20590 [ 78.2 %]     27 clones [ 0.2 %], purity: 97.61 %, hitEff: 98.88 %
PrChecker.Downs...   INFO              noVelo+UT+T_strange :   14660 from    21195 [ 69.2 %]     17 clones [ 0.1 %], purity: 97.61 %, hitEff: 98.70 %
PrChecker.Downs...   INFO         noVelo+UT+T_strange>5GeV :    9738 from    12783 [ 76.2 %]     15 clones [ 0.2 %], purity: 97.66 %, hitEff: 98.83 %
PrChecker.Downs...   INFO                       UT+T_fromB :   32671 from    40655 [ 80.4 %]     50 clones [ 0.2 %], purity: 97.83 %, hitEff: 99.05 %
PrChecker.Downs...   INFO                  UT+T_fromB>5GeV :   26383 from    31284 [ 84.3 %]     48 clones [ 0.2 %], purity: 97.85 %, hitEff: 99.13 %
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    5986 from     8880 [ 67.4 %]      6 clones [ 0.1 %], purity: 97.81 %, hitEff: 98.76 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    4401 from     5748 [ 76.6 %]      6 clones [ 0.1 %], purity: 97.83 %, hitEff: 98.96 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    7636 from     9758 [ 78.3 %]      9 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.87 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    5740 from     6968 [ 82.4 %]      8 clones [ 0.1 %], purity: 97.84 %, hitEff: 99.00 %
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    5200 from     6783 [ 76.7 %]      4 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.84 %
PrChecker.Downs...   INFO         noVelo+UT+T_SfromDB>5GeV :    4021 from     4979 [ 80.8 %]      4 clones [ 0.1 %], purity: 97.81 %, hitEff: 98.98 %

PrChecker.BestDown   INFO **** BestDown                        85853 tracks including         33106 ghosts [38.6 %], Event average  33.4 % ****
PrChecker.BestDown   INFO                             UT+T :   37760 from   343868 [ 11.0 %]     30 clones [ 0.1 %], purity: 97.51 %, hitEff: 94.01 %
PrChecker.BestDown   INFO                        UT+T>5GeV :   20315 from   209864 [  9.7 %]     28 clones [ 0.1 %], purity: 97.60 %, hitEff: 95.12 %
PrChecker.BestDown   INFO                     UT+T_strange :   15334 from    36232 [ 42.3 %]     11 clones [ 0.1 %], purity: 97.66 %, hitEff: 94.88 %
PrChecker.BestDown   INFO                UT+T_strange>5GeV :    9912 from    20590 [ 48.1 %]     10 clones [ 0.1 %], purity: 97.70 %, hitEff: 95.62 %
PrChecker.BestDown   INFO              noVelo+UT+T_strange :   13979 from    21195 [ 66.0 %]     11 clones [ 0.1 %], purity: 97.68 %, hitEff: 94.94 %
PrChecker.BestDown   INFO         noVelo+UT+T_strange>5GeV :    9316 from    12783 [ 72.9 %]     10 clones [ 0.1 %], purity: 97.70 %, hitEff: 95.65 %
PrChecker.BestDown   INFO                       UT+T_fromB :    6667 from    40655 [ 16.4 %]      5 clones [ 0.1 %], purity: 97.82 %, hitEff: 95.42 %
PrChecker.BestDown   INFO                  UT+T_fromB>5GeV :    4797 from    31284 [ 15.3 %]      5 clones [ 0.1 %], purity: 97.85 %, hitEff: 96.17 %
PrChecker.BestDown   INFO                noVelo+UT+T_fromB :    5753 from     8880 [ 64.8 %]      4 clones [ 0.1 %], purity: 97.85 %, hitEff: 95.66 %
PrChecker.BestDown   INFO           noVelo+UT+T_fromB>5GeV :    4253 from     5748 [ 74.0 %]      4 clones [ 0.1 %], purity: 97.87 %, hitEff: 96.28 %
PrChecker.BestDown   INFO                     UT+T_SfromDB :    5315 from     9758 [ 54.5 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 95.77 %
PrChecker.BestDown   INFO                UT+T_SfromDB>5GeV :    4059 from     6968 [ 58.3 %]      3 clones [ 0.1 %], purity: 97.86 %, hitEff: 96.31 %
PrChecker.BestDown   INFO              noVelo+UT+T_SfromDB :    5058 from     6783 [ 74.6 %]      3 clones [ 0.1 %], purity: 97.85 %, hitEff: 95.82 %
PrChecker.BestDown   INFO         noVelo+UT+T_SfromDB>5GeV :    3916 from     4979 [ 78.7 %]      3 clones [ 0.1 %], purity: 97.85 %, hitEff: 96.31 %

#########################
# B -> J/psi K Mag Up
#########################
### baseline
PrChecker.Downs...   INFO **** Downstream                     515863 tracks including        165265 ghosts [32.0 %], Event average  25.8 % ****
PrChecker.Downs...   INFO                             UT+T :  310480 from   414986 [ 74.8 %]    565 clones [ 0.2 %], purity: 97.50 %, hitEff: 98.86 %
PrChecker.Downs...   INFO                        UT+T>5GeV :  205520 from   252660 [ 81.3 %]    503 clones [ 0.2 %], purity: 97.56 %, hitEff: 98.96 %
PrChecker.Downs...   INFO                     UT+T_strange :   31942 from    43664 [ 73.2 %]     33 clones [ 0.1 %], purity: 97.51 %, hitEff: 98.76 %
